Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,Tip,Domeniu cercetare,,Link
Iulia-Maria Rus; Raluca Laura Portase; Ramona Ioana Tolas; Camelia Lemnaru; Mihaela Dînșoreanu; Rodica Potolea,Extracting Appliance Behavior from Heterogeneous Data,2023 IEEE 19th International Conference on Intelligent Computer Communication and Processing (ICCP),,,,2023,IEEE,C3-BDI,INGINERIA CUNOSTINTELOR,,
Ioan Stan; Rodica Potolea ,Urban Congestion Avoidance Methodology based on Vehicular Traffic Thresholding,,,,,2023,"Aplied Sciences, Jurnal ",C1-Revista ISI,INGINERIA CUNOSTINTELOR,,https://www.mdpi.com/2076-3417/13/4/2143
"Tolas, Ramona; Portase, Raluca; Dinsoreanu, Mihaela; Potolea, Rodica",Mining User Behavior: Inference of Time-boxed Usage Patterns from Household Generated Data,eKNOW 2023,,,,2023,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,
"Portase, Raluca; Tolas, Ramona; Lemnaru, Camelia; Potolea, Rodica",Prediction Pipeline on Time Series Data Applied for Usage Prediction on Household Devices,eKNOW 2023,,,,2023,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,
"Macicasan, F.; Frasie, A.;Vezan, N.T.; Lemnaru, C.; Potolea, R.;",Evolving a Pipeline Approach for Abstract Meaning Representation Parsing Towards Dynamic Neural Networks,,,,,2023,International Journal of Neural Systems,C1-Revista ISI,INGINERIA CUNOSTINTELOR,,https://www.worldscientific.com/doi/10.1142/S0129065723500405?rfr_dat=cr_pub++0pubmed&rfr_id=ori%3Arid%3Acrossref.org&url_ver=Z39.88-2003
"Salagean, Andreea; Pasc, Andreea-Madalina; Ardelean, Eugen-Richard; Muresan, Raul Cristian; Moca, Vasile V; Dînsoreanu, Mihaela; Potolea, Rodica; Lemnaru, Camelia; ",Local Field Potential Microstate Analysis.,ICCP,,,221-227,2022,,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,
"Radu, Cosmina; Staicu, Carla-Elena; Mitrică, Livia-Maria; Dînşoreanu, Mihaela; Potolea, Rodica; Lemnaru, Camelia; ",Extracting Settings from Multilingual Recipes with Various Sequence Tagging Models: an Experimental Study,2022 IEEE 18th International Conference on Intelligent Computer Communication and Processing (ICCP),,,65-72,2022,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/10053968
"Lăpuşan, Alex-Mihai; Horge, Rareş-Liviu; Petres, Sara; Dînşoreanu, Mihaela; Potolea, Rodica; Lemnaru, Camelia; ",Instructions Are All You Need: Cooking Parameters Classification for Monolingual Recipes,2022 IEEE 18th International Conference on Intelligent Computer Communication and Processing (ICCP),,,73-80,2022,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/10053948
"Firte, Catalin; Iamnitchi, Loredana; Portase, Raluca; Tolas, Ramona; Potolea, Rodica; Dinsoreanu, Mihaela; Lemnaru, Camelia; ",Knowledge inference from home appliances data,2022 IEEE 18th International Conference on Intelligent Computer Communication and Processing (ICCP),,,237-243,2022,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,
"Portase, Raluca; Tolas, Ramona; Potolea, Rodica; ",MEDIS: Analysis Methodology for Data with Multiple Complexities.,KDIR,,,191-198,2021,,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,
"Stoica, Anda; Kadar, Tibor; Lemnaru, Camelia; Potolea, Rodica; Dînşoreanu, Mihaela; ",Intent detection and slot filling with capsule net architectures for a romanian home assistant,Sensors,21,4,1230,2021,MDPI,C1-Revista ISI,INGINERIA CUNOSTINTELOR,,
"Stan, Ioan; Suciu, Vasile; Potolea, Rodica; ",Scalable data model for traffic congestion avoidance in a vehicle to cloud infrastructure,Sensors,21,15,5074,2021,MDPI,C1-Revista ISI,INGINERIA CUNOSTINTELOR,,
"Rad, Andrei-Cristian; Muntean, Ioan-Horia-Mihai; Stoica, Anda-Diana; Lemnaru, Camelia; Potolea, Rodica; Dînșoreanu, Mihaela; ",Semantically Enriching Embeddings of Highly Inflectable Verbs for Improving Intent Detection in a Romanian Home Assistant Scenario,"Advances in Intelligent Data Analysis XIX: 19th International Symposium on Intelligent Data Analysis, IDA 2021, Porto, Portugal, April 26–28, 2021, Proceedings 19",,,251-262,2021,Springer International Publishing,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,https://link.springer.com/chapter/10.1007/978-3-030-74251-5_20
"Tolas, Ramona; Portase, Raluca; Iosif, Andrei; Potolea, Rodica; ",Periodicity detection algorithm and applications on iot data,2021 20th International Symposium on Parallel and Distributed Computing (ISPDC),,,81-88,2021,IEEE,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,https://ieeexplore.ieee.org/abstract/document/9521605
"Dodon, Alexandru; Calugar, Marius Adrian; Potolea, Rodica; Lemnaru, Camelia; Dînşoreanu, Mihaela; Moca, Vasile V; Mureşan, Raul C; ",A Generative Adversarial Approach for the Detection of Typical and Drowned Action Potentials,2021 IEEE 17th International Conference on Intelligent Computer Communication and Processing (ICCP),,,477-481,2021,IEEE,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,
"Aldea, Roxana Ioana; Dinsoreanu, Mihaela; Potolea, Rodica; Lemnaru, Camelia; Muresan, Raul Cristian; Moca, Vasile Vlad; ",Weighted Principal Component Analysis based on statistical properties of features for Spike Sorting,2021 IEEE 17th International Conference on Intelligent Computer Communication and Processing (ICCP),,,455-460,2021,IEEE,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,
"Stan, Ioan; Ungur, Bogdan-Paul; Potolea, Rodica; ",Augmented Van Emde Boas Tree for Connected Vehicles Traffic Modeling,2021 IEEE 17th International Conference on Intelligent Computer Communication and Processing (ICCP),,,199-208,2021,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/9733462
"Stan, Ioan; Ghisa, Raul; Potolea, Rodica; ",Urban traffic simulation methodology for connected vehicles congestion avoidance,Proceedings of the 22nd International Conference on Information Integration and Web-based Applications & Services,,,305-312,2020,,C3-BDI,INGINERIA CUNOSTINTELOR,,https://dl.acm.org/doi/abs/10.1145/3428757.3429102
"Palcu, Liana-Daniela; Supuran, Marius; Lemnaru, Camelia; Dinsoreanu, Mihaela; Potolea, Rodica; Muresan, Raul Cristian; ",Discovering discriminative nodes for classification with deep graph convolutional methods,"New Frontiers in Mining Complex Patterns: 8th International Workshop, NFMCP 2019, Held in Conjunction with ECML-PKDD 2019, Würzburg, Germany, September 16, 2019, Revised Selected Papers 8",,,67-82,2020,Springer International Publishing,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,
"Mihalca, Andrei; Oprişa, Ciprian; Potolea, Rodica; ",Hunting for malware code in massive collections,"2020 IEEE International Conference on Automation, Quality and Testing, Robotics (AQTR)",,,01-Jun,2020,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,
"Stoica, Anda Diana; Rad, Andrei-Cristian; Muntean, Ioan Horia; Daian, George; Lemnaru, Camelia; Potolea, Rodica; Dinsoreanu, Mihaela; ",The impact of Romanian diacritics on intent detection and slot filling,"2020 IEEE International Conference on Automation, Quality and Testing, Robotics (AQTR)",,,01-Jun,2020,IEEE,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,
"Onofrei, Ioana; Sălăgean, Andreea; Sîrca, Narcisa; Moca, Vasile V; Nagy-Dăbâcan, Adriana; Muresan, Raul C; Potolea, Rodica; Dinşoreanu, Mihaela; Lemnaru, Camelia; ",Using Symbolic Analysis of Local Field Potentials for Anesthesia Depth Prediction,2020 IEEE 16th International Conference on Intelligent Computer Communication and Processing (ICCP),,,21-28,2020,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,
"Chira, Codrin-Mihai; Portase, Raluca; Tolas, Ramona; Lemnaru, Camelia; Potolea, Rodica; ",A system for managing and processing industrial sensor data: SMS,2020 IEEE 16th International Conference on Intelligent Computer Communication and Processing (ICCP),,,213-220,2020,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,
"Petruţiu, Vlad Mihai; Palcu, Liana Daniela; Lemnaru, Camelia; Dînşoreanu, Mihaela; Potolea, Rodica; Murseşan, Raul; Moca, Vlad Vasile; ",Enhancing the classification of EEG signals using Wasserstein generative adversarial networks,2020 IEEE 16th International Conference on Intelligent Computer Communication and Processing (ICCP),,,29-34,2020,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,
"Vasiu, Mihaela Alexandra; Potolea, Rodica; ",Enhancing tokenization by embedding romanian language specific morphology,2020 IEEE 16th International Conference on Intelligent Computer Communication and Processing (ICCP),,,243-250,2020,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/9266140
"Cristian, Lungu; Potolea, Rodica; ",Optimising the pool test method for COVID-19 using evolutionary algorithms,2020 IEEE 16th International Conference on Intelligent Computer Communication and Processing (ICCP),,,123-127,2020,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/9266155
"Olariu, Eliza Maria; Tolas, Ramona; Portase, Raluca; Dinsoreanu, Mihaela; Potolea, Rodica; ",Modern approaches to preprocessing industrial data,2020 IEEE 16th International Conference on Intelligent Computer Communication and Processing (ICCP),,,221-226,2020,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,
"Stan, Ioan; Suciu, Vasile; Potolea, Rodica; ",Routing Algorithms in Connected Cars Context.,KEOD,,,290-297,2019,,C3-BDI,INGINERIA CUNOSTINTELOR,,https://www.scitepress.org/Papers/2019/81673/81673.pdf
"Potolea, Rodica; Lemnaru, Camelia; ",Understanding and Addressing Change in Computer Science Education,2019 22nd International Conference on Control Systems and Computer Science (CSCS),,,395-397,2019,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/8745301
"Stan, Ioan; Suciu, Vasile; Potolea, Rodica; ",Smart driving methodology for connected cars,"2019 23rd International Conference on System Theory, Control and Computing (ICSTCC)",,,608-613,2019,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/8885450
"Palcu, Liana-Daniela; Supuran, Marius; Lemnaru, Camelia; Dinsoreanu, Mihaela; Potolea, Rodica; Muresan, Raul Cristian; ",Breaking the interpretability barrier-a method for interpreting deep graph convolutional models,International Workshop NFMCP in conjunction with ECML-PKDD,,,,2019,,C3-BDI,INGINERIA CUNOSTINTELOR,,
"Stoica, Anda; Kadar, Tibor; Lemnaru, Camelia; Potolea, Rodica; Dînşoreanu, Mihaela; ",The impact of data challenges on intent detection and slot filling for the home assistant scenario,2019 IEEE 15th International Conference on Intelligent Computer Communication and Processing (ICCP),,,41-47,2019,IEEE,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,
"Ardelean, Eugen-Richard; Stanciu, Alexander; Dinsoreanu, Mihaela; Potolea, Rodica; Lemnaru, Camelia; Moca, Vasile Vlad; ",Space Breakdown Method A new approach for density-based clustering,2019 IEEE 15th International Conference on Intelligent Computer Communication and Processing (ICCP),,,419-425,2019,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,
"Albert, Erika-Timea; Lemnaru, Camelia; Dinsoreanu, Mihaela; Potolea, Rodica; ",Keyword spotting using dynamic time warping and convolutional recurrent networks,2019 IEEE 15th International Conference on Intelligent Computer Communication and Processing (ICCP),,,53-60,2019,IEEE,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,
"Cristea, Lucian; Potolea, Rodica; ",A Robust Vehicle Trajectory Prediction System Deep learning based approach with a novel fusion technique,2019 IEEE 15th International Conference on Intelligent Computer Communication and Processing (ICCP),,,411-418,2019,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/8959802
"Stan, Ioan; Potolea, Rodica; ",Connected cars traffic flow balancing based on classification and calibration,"Mining Intelligence and Knowledge Exploration: 6th International Conference, MIKE 2018, Cluj-Napoca, Romania, December 20–22, 2018, Proceedings 6",,,177-188,2018,Springer International Publishing,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://link.springer.com/chapter/10.1007/978-3-030-05918-7_16
"Borsos, Zalán; Lemnaru, Camelia; Potolea, Rodica; ",Dealing with overlap and imbalance: a new metric and approach,Pattern Analysis and Applications,21,,381-395,2018,Springer London,C1-Revista ISI,INTELIGENŢĂ ARTIFICIALĂ,,
"Dolean, Samuel; Dînşoreanu, Mihaela; Mureşan, Raul Cristian; Geiszt, Attila; Potolea, Rodica; Ţincaş, Ioana; ",A scaled-correlation based approach for defining and analyzing functional networks,"New Frontiers in Mining Complex Patterns: 6th International Workshop, NFMCP 2017, Held in Conjunction with ECML-PKDD 2017, Skopje, Macedonia, September 18-22, 2017, Revised Selected Papers 6",,,80-92,2018,Springer International Publishing,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,
"Graur, Dan-Ovidiu; Mariş, Răzvan-Alexandru; Potolea, Rodica; Dînşoreanu, Mihaela; Lemnaru, Camelia; ",Complex localization in the multiple instance learning context,"New Frontiers in Mining Complex Patterns: 6th International Workshop, NFMCP 2017, Held in Conjunction with ECML-PKDD 2017, Skopje, Macedonia, September 18-22, 2017, Revised Selected Papers 6",,,93-106,2018,Springer International Publishing,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,
"Pop, Roxana; Dregan, Anda; Măcicăşan, Florin; Lemnaru, Camelia; Potolea, Rodica; ",Enhancements on a transition-based approach for amr parsing using lstm networks,2018 IEEE 14th International Conference on Intelligent Computer Communication and Processing (ICCP),,,55-62,2018,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,
"Vasiu, Mihaela Alexandra; Marghescu, Luminița Mădălina; Bărbănțan, Ioana; Potolea, Rodica; ",Cross Documents Concept Augmentation,2018 IEEE 14th International Conference on Intelligent Computer Communication and Processing (ICCP),,,29-36,2018,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/8516582
"Stan, Ioan; Toderici, Dan; Potolea, Rodica; ",Segment trees based traffic congestion avoidance in connected cars context,2018 IEEE 14th International Conference on Intelligent Computer Communication and Processing (ICCP),,,137-143,2018,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/8516609
"Lungu, Cristian; Potolea, Rodica; ",Super-Resolution Generator Networks: A comparative study,2018 IEEE 14th International Conference on Intelligent Computer Communication and Processing (ICCP),,,333-337,2018,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/8516603
"Hasna, Octavian Lucian; Potolea, Rodica; ",Analysing a periodical and multi-dimensional time series,"Mining Intelligence and Knowledge Exploration: 6th International Conference, MIKE 2018, Cluj-Napoca, Romania, December 20–22, 2018, Proceedings 6",,,268-278,2018,Springer International Publishing,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,
"Nedelcu, Elena; Portase, Raluca; Tolas, Ramona; Muresan, Raul; Dinsoreanu, Mihaela; Potolea, Rodica; ",Artifact detection in EEG using machine learning,2017 13th IEEE International Conference on Intelligent Computer Communication and Processing (ICCP),,,77-83,2017,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,
"Lemnaru, Camelia; Potolea, Rodica; ",Evolutionary cost-sensitive balancing: A generic method for imbalanced classification problems,"EVOLVE-A Bridge between Probability, Set Oriented Numerics, and Evolutionary Computation VI",,,194-209,2017,Springer International Publishing Cham,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,https://link.springer.com/chapter/10.1007/978-3-319-69710-9_14
"Parau, P; Lemnaru, C; Dinsoreanu, M; Potolea, R; ",Opinion leader detection,Sentiment analysis in social networks,,,157-170,2017,Morgan Kaufmann,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,
"Rus, Iacob D; Marc, Paul; Dinsoreanu, Mihaela; Potolea, Rodica; Muresan, Raul Cristian; ",Classification of EEG signals in an object recognition task,2017 13th IEEE International Conference on Intelligent Computer Communication and Processing (ICCP),,,391-395,2017,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,
"Hasna, Octavian Lucian; Potolea, Rodica; ",Robust feature extraction from noisy ECG for atrial fibrillation detection,2017 Computing in Cardiology (CinC),,,01-Apr,2017,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/8331573
"Hasna, Octavian Lucian; Potolea, Rodica; ",Time series—A taxonomy based survey,2017 13th IEEE International Conference on Intelligent Computer Communication and Processing (ICCP),,,231-238,2017,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/8117009
Rodica Potolea; Kalman Pusztai,Contributions to Multiparadigm Logic Programming Systems,Universitatea Tehnica din Cluj-Napoca,,,,1998,,A-Teza doctorat,,,
Liana-Daniela Palcu; Marius Supuran; Camelia Lemnaru; Mihaela Dinsoreanu; Rodica Potolea; Raul Cristian Muresan,Discovering discriminative nodes for classification with deep graph convolutional methods,"8th International Workshop, NFMCP 2019, Held in Conjunction with ECML-PKDD 2019",,,67-82,2020,Springer International Publishing,B2-Capitol de carte,INGINERIA CUNOSTINTELOR,,
"Dolean, S.; Dînşoreanu, M.; Mureşan, R.C.; Geiszt, A.; Potolea, R.; Ţincaş, I.",A Scaled-Correlation Based Approach for Defining and Analyzing Functional Networks,"In Appice A., Loglisci C., Manco G., Masciari E., Ras Z. (eds) New Frontiers in Mining Complex Patterns. NFMCP 2017. Lecture Notes in Computer Science",10785,,80-92,2017,Springer,B2-Capitol de carte,INGINERIA CUNOSTINTELOR,,
"Graur, DO.; Mariş, RA.; Potolea, R.; Dînşoreanu, M.; Lemnaru, C",Complex Localization in the Multiple Instance Learning Context,"In Appice A., Loglisci C., Manco G., Masciari E., Ras Z. (eds) New Frontiers in Mining Complex Patterns. NFMCP 2017. Lecture Notes in Computer Science",10785,,93-106,2017,Springer,B2-Capitol de carte,INGINERIA CUNOSTINTELOR,,https://link.springer.com/chapter/10.1007/978-3-319-78680-3_7
"Bărbănțan, I.; Potolea, R",Towards Cross Language Morphologic Negation Identification in Electronic Health Records,"În T. Z.-G.-G. Ramón Agüero, Mobile Networks and Management, Chapter: Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",141,,417-430,2015,Springer International Publishing,B2-Capitol de carte,INGINERIA CUNOSTINTELOR,,https://link.springer.com/chapter/10.1007/978-3-319-16292-8_30
